game,opponent,layer,grad_norm,input_sensitivity
hawk-dove,0.5,payoff_matrix_embed.0.bias,6.756416496500606e-06,1.837029003581847e-06
hawk-dove,0.5,payoff_matrix_embed.2.weight,9.365238838654477e-06,1.837029003581847e-06
hawk-dove,0.5,payoff_matrix_embed.2.bias,9.094189408642706e-06,1.837029003581847e-06
hawk-dove,0.5,round_number_embed.0.weight,1.968973083421588e-05,1.837029003581847e-06
hawk-dove,0.5,round_number_embed.0.bias,4.208462269161828e-05,1.837029003581847e-06
hawk-dove,0.5,round_number_embed.2.weight,7.617127721459838e-06,1.837029003581847e-06
hawk-dove,0.5,round_number_embed.2.bias,1.0593124898150563e-05,1.837029003581847e-06
hawk-dove,0.5,opponent_action_embed.0.weight,1.897291986097116e-05,1.837029003581847e-06
hawk-dove,0.5,opponent_action_embed.0.bias,3.261757956352085e-05,1.837029003581847e-06
hawk-dove,0.5,opponent_action_embed.2.weight,1.7544332877150737e-05,1.837029003581847e-06
hawk-dove,0.5,opponent_action_embed.2.bias,1.934593092300929e-05,1.837029003581847e-06
hawk-dove,0.5,agent_action_embed.0.weight,4.897492966726702e-10,1.837029003581847e-06
hawk-dove,0.5,agent_action_embed.0.bias,0.00020927729201503098,1.837029003581847e-06
hawk-dove,0.5,agent_action_embed.2.weight,9.334172318631317e-06,1.837029003581847e-06
hawk-dove,0.5,agent_action_embed.2.bias,1.7823404050432146e-05,1.837029003581847e-06
hawk-dove,0.5,agent_reward_embed.0.weight,0.0,1.837029003581847e-06
hawk-dove,0.5,agent_reward_embed.0.bias,0.0006056594429537654,1.837029003581847e-06
hawk-dove,0.5,agent_reward_embed.2.weight,1.9297094695502892e-05,1.837029003581847e-06
hawk-dove,0.5,agent_reward_embed.2.bias,1.6003703422029503e-05,1.837029003581847e-06
hawk-dove,0.5,opponent_reward_embed.0.weight,0.0,1.837029003581847e-06
hawk-dove,0.5,opponent_reward_embed.0.bias,0.00034498251625336707,1.837029003581847e-06
hawk-dove,0.5,opponent_reward_embed.2.weight,1.4815363101661205e-05,1.837029003581847e-06
